New code,Area code,Local Authority,Year,Value
E09000002,00AB,Barking and Dagenham,1991-1993,78.4
E09000002,00AB,Barking and Dagenham,1992-1994,78.5
E09000002,00AB,Barking and Dagenham,1993-1995,78.7
E09000002,00AB,Barking and Dagenham,1994-1996,78.5
E09000002,00AB,Barking and Dagenham,1995-1997,78.8
E09000002,00AB,Barking and Dagenham,1996-1998,79
E09000002,00AB,Barking and Dagenham,1997-1999,79.4
E09000002,00AB,Barking and Dagenham,1998-2000,79.4
E09000002,00AB,Barking and Dagenham,1999-2001,79.6
E09000002,00AB,Barking and Dagenham,2000-2002,79.7
E09000002,00AB,Barking and Dagenham,2001-2003,79.4
E09000002,00AB,Barking and Dagenham,2002-2004,79.2
E09000002,00AB,Barking and Dagenham,2003-2005,79.34
E09000002,00AB,Barking and Dagenham,2004-2006,79.8
E09000002,00AB,Barking and Dagenham,2005-2007,80.26
E09000002,00AB,Barking and Dagenham,2006-2008,80.46
E09000002,00AB,Barking and Dagenham,2007-2009,80.8
E09000002,00AB,Barking and Dagenham,2008-2010,80.95
E09000002,00AB,Barking and Dagenham,2009-2011,81.63
E09000002,00AB,Barking and Dagenham,2010-2012,82
E09000002,00AB,Barking and Dagenham,2011-2013,82.4
E09000002,00AB,Barking and Dagenham,2012-2014,82.1
E09000003,00AC,Barnet,1991-1993,80.5
E09000003,00AC,Barnet,1992-1994,80.6
E09000003,00AC,Barnet,1993-1995,80.5
E09000003,00AC,Barnet,1994-1996,80.7
E09000003,00AC,Barnet,1995-1997,80.4
E09000003,00AC,Barnet,1996-1998,80.6
E09000003,00AC,Barnet,1997-1999,80.7
E09000003,00AC,Barnet,1998-2000,81.1
E09000003,00AC,Barnet,1999-2001,81.4
E09000003,00AC,Barnet,2000-2002,81.8
E09000003,00AC,Barnet,2001-2003,82.2
E09000003,00AC,Barnet,2002-2004,82.6
E09000003,00AC,Barnet,2003-2005,82.86
E09000003,00AC,Barnet,2004-2006,83.27
E09000003,00AC,Barnet,2005-2007,83.41
E09000003,00AC,Barnet,2006-2008,83.8
E09000003,00AC,Barnet,2007-2009,83.97
E09000003,00AC,Barnet,2008-2010,84.05
E09000003,00AC,Barnet,2009-2011,84.19
E09000003,00AC,Barnet,2010-2012,84.5
E09000003,00AC,Barnet,2011-2013,85
E09000003,00AC,Barnet,2012-2014,85.1
E09000004,00AD,Bexley,1991-1993,80.2
E09000004,00AD,Bexley,1992-1994,80.6
E09000004,00AD,Bexley,1993-1995,80.5
E09000004,00AD,Bexley,1994-1996,80.5
E09000004,00AD,Bexley,1995-1997,80.3
E09000004,00AD,Bexley,1996-1998,80.4
E09000004,00AD,Bexley,1997-1999,80.6
E09000004,00AD,Bexley,1998-2000,80.7
E09000004,00AD,Bexley,1999-2001,80.9
E09000004,00AD,Bexley,2000-2002,81.2
E09000004,00AD,Bexley,2001-2003,81.26025390625
E09000004,00AD,Bexley,2002-2004,81.55
E09000004,00AD,Bexley,2003-2005,81.97
E09000004,00AD,Bexley,2004-2006,82.6
E09000004,00AD,Bexley,2005-2007,82.82
E09000004,00AD,Bexley,2006-2008,82.82
E09000004,00AD,Bexley,2007-2009,83.17
E09000004,00AD,Bexley,2008-2010,83.57
E09000004,00AD,Bexley,2009-2011,84.13
E09000004,00AD,Bexley,2010-2012,84.4
E09000004,00AD,Bexley,2011-2013,84.3
E09000004,00AD,Bexley,2012-2014,84.4
E09000005,00AE,Brent,1991-1993,79.7
E09000005,00AE,Brent,1992-1994,79.9
E09000005,00AE,Brent,1993-1995,79.6
E09000005,00AE,Brent,1994-1996,79.7
E09000005,00AE,Brent,1995-1997,80
E09000005,00AE,Brent,1996-1998,80.3
E09000005,00AE,Brent,1997-1999,80.7
E09000005,00AE,Brent,1998-2000,81
E09000005,00AE,Brent,1999-2001,81.4
E09000005,00AE,Brent,2000-2002,81.6
E09000005,00AE,Brent,2001-2003,81.8
E09000005,00AE,Brent,2002-2004,82.26
E09000005,00AE,Brent,2003-2005,82.7
E09000005,00AE,Brent,2004-2006,83.18
E09000005,00AE,Brent,2005-2007,83.5
E09000005,00AE,Brent,2006-2008,83.63
E09000005,00AE,Brent,2007-2009,83.73
E09000005,00AE,Brent,2008-2010,83.75
E09000005,00AE,Brent,2009-2011,84.36
E09000005,00AE,Brent,2010-2012,84.5
E09000005,00AE,Brent,2011-2013,84.9
E09000005,00AE,Brent,2012-2014,85.1
E09000006,00AF,Bromley,1991-1993,81.1
E09000006,00AF,Bromley,1992-1994,81.2
E09000006,00AF,Bromley,1993-1995,81
E09000006,00AF,Bromley,1994-1996,81.1
E09000006,00AF,Bromley,1995-1997,81.1
E09000006,00AF,Bromley,1996-1998,81.1
E09000006,00AF,Bromley,1997-1999,81.3
E09000006,00AF,Bromley,1998-2000,81.5
E09000006,00AF,Bromley,1999-2001,81.8
E09000006,00AF,Bromley,2000-2002,82.1
E09000006,00AF,Bromley,2001-2003,82.1
E09000006,00AF,Bromley,2002-2004,82.32
E09000006,00AF,Bromley,2003-2005,82.63
E09000006,00AF,Bromley,2004-2006,83.34
E09000006,00AF,Bromley,2005-2007,83.47
E09000006,00AF,Bromley,2006-2008,83.6
E09000006,00AF,Bromley,2007-2009,83.73
E09000006,00AF,Bromley,2008-2010,84.18
E09000006,00AF,Bromley,2009-2011,84.47
E09000006,00AF,Bromley,2010-2012,84.5
E09000006,00AF,Bromley,2011-2013,84.9
E09000006,00AF,Bromley,2012-2014,84.9
E09000007,00AG,Camden,1991-1993,78.8
E09000007,00AG,Camden,1992-1994,79.1
E09000007,00AG,Camden,1993-1995,79.2
E09000007,00AG,Camden,1994-1996,79.9
E09000007,00AG,Camden,1995-1997,80
E09000007,00AG,Camden,1996-1998,80.4
E09000007,00AG,Camden,1997-1999,80.2
E09000007,00AG,Camden,1998-2000,80.1
E09000007,00AG,Camden,1999-2001,80.3
E09000007,00AG,Camden,2000-2002,80.5
E09000007,00AG,Camden,2001-2003,81
E09000007,00AG,Camden,2002-2004,81.22
E09000007,00AG,Camden,2003-2005,81.73
E09000007,00AG,Camden,2004-2006,81.88
E09000007,00AG,Camden,2005-2007,82.55
E09000007,00AG,Camden,2006-2008,83.08
E09000007,00AG,Camden,2007-2009,84.03
E09000007,00AG,Camden,2008-2010,84.72
E09000007,00AG,Camden,2009-2011,85.04
E09000007,00AG,Camden,2010-2012,85.4
E09000007,00AG,Camden,2011-2013,86
E09000007,00AG,Camden,2012-2014,86.7
E09000008,00AH,Croydon,1991-1993,79.2
E09000008,00AH,Croydon,1992-1994,79.6
E09000008,00AH,Croydon,1993-1995,79.6
E09000008,00AH,Croydon,1994-1996,79.7
E09000008,00AH,Croydon,1995-1997,79.8
E09000008,00AH,Croydon,1996-1998,80
E09000008,00AH,Croydon,1997-1999,80.3
E09000008,00AH,Croydon,1998-2000,80.2
E09000008,00AH,Croydon,1999-2001,80.4
E09000008,00AH,Croydon,2000-2002,80.5
E09000008,00AH,Croydon,2001-2003,80.7
E09000008,00AH,Croydon,2002-2004,80.74
E09000008,00AH,Croydon,2003-2005,80.96
E09000008,00AH,Croydon,2004-2006,81.23
E09000008,00AH,Croydon,2005-2007,81.95
E09000008,00AH,Croydon,2006-2008,82.2
E09000008,00AH,Croydon,2007-2009,82.76
E09000008,00AH,Croydon,2008-2010,82.6
E09000008,00AH,Croydon,2009-2011,83.02
E09000008,00AH,Croydon,2010-2012,83.2
E09000008,00AH,Croydon,2011-2013,83.5
E09000008,00AH,Croydon,2012-2014,83.6
E09000009,00AJ,Ealing,1991-1993,79.3
E09000009,00AJ,Ealing,1992-1994,79.6
E09000009,00AJ,Ealing,1993-1995,79.4
E09000009,00AJ,Ealing,1994-1996,79.4
E09000009,00AJ,Ealing,1995-1997,79.5
E09000009,00AJ,Ealing,1996-1998,79.8
E09000009,00AJ,Ealing,1997-1999,79.9
E09000009,00AJ,Ealing,1998-2000,80.2
E09000009,00AJ,Ealing,1999-2001,80.6
E09000009,00AJ,Ealing,2000-2002,81
E09000009,00AJ,Ealing,2001-2003,81.2
E09000009,00AJ,Ealing,2002-2004,81.32
E09000009,00AJ,Ealing,2003-2005,81.6
E09000009,00AJ,Ealing,2004-2006,82.11
E09000009,00AJ,Ealing,2005-2007,82.92
E09000009,00AJ,Ealing,2006-2008,83.06
E09000009,00AJ,Ealing,2007-2009,83.2
E09000009,00AJ,Ealing,2008-2010,83.26
E09000009,00AJ,Ealing,2009-2011,83.89
E09000009,00AJ,Ealing,2010-2012,84.2
E09000009,00AJ,Ealing,2011-2013,84.3
E09000009,00AJ,Ealing,2012-2014,84.2
E09000010,00AK,Enfield,1991-1993,80.2
E09000010,00AK,Enfield,1992-1994,80.5
E09000010,00AK,Enfield,1993-1995,80.5
E09000010,00AK,Enfield,1994-1996,80.6
E09000010,00AK,Enfield,1995-1997,80.7
E09000010,00AK,Enfield,1996-1998,81.1
E09000010,00AK,Enfield,1997-1999,81.1
E09000010,00AK,Enfield,1998-2000,80.8
E09000010,00AK,Enfield,1999-2001,80.6
E09000010,00AK,Enfield,2000-2002,80.9
E09000010,00AK,Enfield,2001-2003,81
E09000010,00AK,Enfield,2002-2004,81.06
E09000010,00AK,Enfield,2003-2005,81.22
E09000010,00AK,Enfield,2004-2006,81.86
E09000010,00AK,Enfield,2005-2007,82.33
E09000010,00AK,Enfield,2006-2008,82.57
E09000010,00AK,Enfield,2007-2009,82.83
E09000010,00AK,Enfield,2008-2010,82.91
E09000010,00AK,Enfield,2009-2011,83.9
E09000010,00AK,Enfield,2010-2012,84
E09000010,00AK,Enfield,2011-2013,84.3
E09000010,00AK,Enfield,2012-2014,84.1
E09000011,00AL,Greenwich,1991-1993,78.7
E09000011,00AL,Greenwich,1992-1994,78.8
E09000011,00AL,Greenwich,1993-1995,78.8
E09000011,00AL,Greenwich,1994-1996,78.8
E09000011,00AL,Greenwich,1995-1997,78.8
E09000011,00AL,Greenwich,1996-1998,78.6
E09000011,00AL,Greenwich,1997-1999,79
E09000011,00AL,Greenwich,1998-2000,79.5
E09000011,00AL,Greenwich,1999-2001,79.7
E09000011,00AL,Greenwich,2000-2002,80.1
E09000011,00AL,Greenwich,2001-2003,80
E09000011,00AL,Greenwich,2002-2004,80.12
E09000011,00AL,Greenwich,2003-2005,80.14
E09000011,00AL,Greenwich,2004-2006,80.64
E09000011,00AL,Greenwich,2005-2007,81.24
E09000011,00AL,Greenwich,2006-2008,81.52
E09000011,00AL,Greenwich,2007-2009,81.7
E09000011,00AL,Greenwich,2008-2010,81.58
E09000011,00AL,Greenwich,2009-2011,82.12
E09000011,00AL,Greenwich,2010-2012,82.2
E09000011,00AL,Greenwich,2011-2013,82.8
E09000011,00AL,Greenwich,2012-2014,82.5
E09000012,00AM,Hackney,1991-1993,77.4
E09000012,00AM,Hackney,1992-1994,77.8
E09000012,00AM,Hackney,1993-1995,77.9
E09000012,00AM,Hackney,1994-1996,78.7
E09000012,00AM,Hackney,1995-1997,79
E09000012,00AM,Hackney,1996-1998,79.6
E09000012,00AM,Hackney,1997-1999,79.2
E09000012,00AM,Hackney,1998-2000,79.6
E09000012,00AM,Hackney,1999-2001,79.7
E09000012,00AM,Hackney,2000-2002,80.1
E09000012,00AM,Hackney,2001-2003,80.3
E09000012,00AM,Hackney,2002-2004,80.68
E09000012,00AM,Hackney,2003-2005,81.18
E09000012,00AM,Hackney,2004-2006,81.26
E09000012,00AM,Hackney,2005-2007,81.45
E09000012,00AM,Hackney,2006-2008,81.26
E09000012,00AM,Hackney,2007-2009,81.47
E09000012,00AM,Hackney,2008-2010,81.7
E09000012,00AM,Hackney,2009-2011,82.32
E09000012,00AM,Hackney,2010-2012,82.8
E09000012,00AM,Hackney,2011-2013,83.2
E09000012,00AM,Hackney,2012-2014,83.3
E09000013,00AN,Hammersmith and Fulham,1991-1993,78.5
E09000013,00AN,Hammersmith and Fulham,1992-1994,78.9
E09000013,00AN,Hammersmith and Fulham,1993-1995,78.9
E09000013,00AN,Hammersmith and Fulham,1994-1996,79
E09000013,00AN,Hammersmith and Fulham,1995-1997,79.3
E09000013,00AN,Hammersmith and Fulham,1996-1998,79.5
E09000013,00AN,Hammersmith and Fulham,1997-1999,79.9
E09000013,00AN,Hammersmith and Fulham,1998-2000,80.6
E09000013,00AN,Hammersmith and Fulham,1999-2001,81.3
E09000013,00AN,Hammersmith and Fulham,2000-2002,81.6
E09000013,00AN,Hammersmith and Fulham,2001-2003,81.5
E09000013,00AN,Hammersmith and Fulham,2002-2004,81.82
E09000013,00AN,Hammersmith and Fulham,2003-2005,82.1
E09000013,00AN,Hammersmith and Fulham,2004-2006,83.1
E09000013,00AN,Hammersmith and Fulham,2005-2007,83.51
E09000013,00AN,Hammersmith and Fulham,2006-2008,83.6
E09000013,00AN,Hammersmith and Fulham,2007-2009,83.51
E09000013,00AN,Hammersmith and Fulham,2008-2010,83.26
E09000013,00AN,Hammersmith and Fulham,2009-2011,83.4
E09000013,00AN,Hammersmith and Fulham,2010-2012,83.3
E09000013,00AN,Hammersmith and Fulham,2011-2013,83.5
E09000013,00AN,Hammersmith and Fulham,2012-2014,84.1
E09000014,00AP,Haringey,1991-1993,78.4
E09000014,00AP,Haringey,1992-1994,78.7
E09000014,00AP,Haringey,1993-1995,78.3
E09000014,00AP,Haringey,1994-1996,78.9
E09000014,00AP,Haringey,1995-1997,78.9
E09000014,00AP,Haringey,1996-1998,79.7
E09000014,00AP,Haringey,1997-1999,80.1
E09000014,00AP,Haringey,1998-2000,80.3
E09000014,00AP,Haringey,1999-2001,80
E09000014,00AP,Haringey,2000-2002,80
E09000014,00AP,Haringey,2001-2003,79.8
E09000014,00AP,Haringey,2002-2004,80.21
E09000014,00AP,Haringey,2003-2005,80.89
E09000014,00AP,Haringey,2004-2006,82.03
E09000014,00AP,Haringey,2005-2007,82.73
E09000014,00AP,Haringey,2006-2008,83.05
E09000014,00AP,Haringey,2007-2009,83.63
E09000014,00AP,Haringey,2008-2010,83.64
E09000014,00AP,Haringey,2009-2011,83.71
E09000014,00AP,Haringey,2010-2012,83.8
E09000014,00AP,Haringey,2011-2013,84.7
E09000014,00AP,Haringey,2012-2014,84.9
E09000015,00AQ,Harrow,1991-1993,81.1
E09000015,00AQ,Harrow,1992-1994,81.5
E09000015,00AQ,Harrow,1993-1995,81.3
E09000015,00AQ,Harrow,1994-1996,81.4
E09000015,00AQ,Harrow,1995-1997,81.4
E09000015,00AQ,Harrow,1996-1998,81.7
E09000015,00AQ,Harrow,1997-1999,82
E09000015,00AQ,Harrow,1998-2000,82.3
E09000015,00AQ,Harrow,1999-2001,82.6
E09000015,00AQ,Harrow,2000-2002,83.2
E09000015,00AQ,Harrow,2001-2003,83
E09000015,00AQ,Harrow,2002-2004,82.94
E09000015,00AQ,Harrow,2003-2005,82.69
E09000015,00AQ,Harrow,2004-2006,83.22
E09000015,00AQ,Harrow,2005-2007,83.74
E09000015,00AQ,Harrow,2006-2008,84.35
E09000015,00AQ,Harrow,2007-2009,84.61
E09000015,00AQ,Harrow,2008-2010,84.87
E09000015,00AQ,Harrow,2009-2011,85.4
E09000015,00AQ,Harrow,2010-2012,85.6
E09000015,00AQ,Harrow,2011-2013,85.9
E09000015,00AQ,Harrow,2012-2014,86.1
E09000016,00AR,Havering,1991-1993,79.8
E09000016,00AR,Havering,1992-1994,80
E09000016,00AR,Havering,1993-1995,79.9
E09000016,00AR,Havering,1994-1996,79.9
E09000016,00AR,Havering,1995-1997,80
E09000016,00AR,Havering,1996-1998,80.3
E09000016,00AR,Havering,1997-1999,80.7
E09000016,00AR,Havering,1998-2000,80.7
E09000016,00AR,Havering,1999-2001,80.9
E09000016,00AR,Havering,2000-2002,80.8
E09000016,00AR,Havering,2001-2003,80.9
E09000016,00AR,Havering,2002-2004,81.07
E09000016,00AR,Havering,2003-2005,81.42
E09000016,00AR,Havering,2004-2006,81.98
