New code,Area code,Local Authority,Year,Value
E09000002,00AB,Barking and Dagenham,1991-1993,72.5
E09000002,00AB,Barking and Dagenham,1992-1994,73
E09000002,00AB,Barking and Dagenham,1993-1995,73.2
E09000002,00AB,Barking and Dagenham,1994-1996,73.2
E09000002,00AB,Barking and Dagenham,1995-1997,73
E09000002,00AB,Barking and Dagenham,1996-1998,73.2
E09000002,00AB,Barking and Dagenham,1997-1999,73.4
E09000002,00AB,Barking and Dagenham,1998-2000,73.9
E09000002,00AB,Barking and Dagenham,1999-2001,74.2
E09000002,00AB,Barking and Dagenham,2000-2002,74.7
E09000002,00AB,Barking and Dagenham,2001-2003,74.5
E09000002,00AB,Barking and Dagenham,2002-2004,74.81
E09000002,00AB,Barking and Dagenham,2003-2005,75.17
E09000002,00AB,Barking and Dagenham,2004-2006,75.75
E09000002,00AB,Barking and Dagenham,2005-2007,76.04
E09000002,00AB,Barking and Dagenham,2006-2008,76.04
E09000002,00AB,Barking and Dagenham,2007-2009,76.1
E09000002,00AB,Barking and Dagenham,2008-2010,76.5
E09000002,00AB,Barking and Dagenham,2009-2011,77.17
E09000002,00AB,Barking and Dagenham,2010-2012,77.6
E09000002,00AB,Barking and Dagenham,2011-2013,77.7
E09000002,00AB,Barking and Dagenham,2012-2014,77.6
E09000003,00AC,Barnet,1991-1993,75.4
E09000003,00AC,Barnet,1992-1994,75.7
E09000003,00AC,Barnet,1993-1995,76
E09000003,00AC,Barnet,1994-1996,76.2
E09000003,00AC,Barnet,1995-1997,76.4
E09000003,00AC,Barnet,1996-1998,76.5
E09000003,00AC,Barnet,1997-1999,77.1
E09000003,00AC,Barnet,1998-2000,77.2
E09000003,00AC,Barnet,1999-2001,77.5
E09000003,00AC,Barnet,2000-2002,77.6
E09000003,00AC,Barnet,2001-2003,77.99609375
E09000003,00AC,Barnet,2002-2004,78.28
E09000003,00AC,Barnet,2003-2005,78.45
E09000003,00AC,Barnet,2004-2006,78.88
E09000003,00AC,Barnet,2005-2007,79.37
E09000003,00AC,Barnet,2006-2008,79.84
E09000003,00AC,Barnet,2007-2009,80.02
E09000003,00AC,Barnet,2008-2010,80.19
E09000003,00AC,Barnet,2009-2011,80.76
E09000003,00AC,Barnet,2010-2012,81.4
E09000003,00AC,Barnet,2011-2013,81.9
E09000003,00AC,Barnet,2012-2014,82.1
E09000004,00AD,Bexley,1991-1993,75.4
E09000004,00AD,Bexley,1992-1994,75.5
E09000004,00AD,Bexley,1993-1995,75.6
E09000004,00AD,Bexley,1994-1996,75.8
E09000004,00AD,Bexley,1995-1997,75.9
E09000004,00AD,Bexley,1996-1998,75.9
E09000004,00AD,Bexley,1997-1999,76.1
E09000004,00AD,Bexley,1998-2000,76.6
E09000004,00AD,Bexley,1999-2001,77
E09000004,00AD,Bexley,2000-2002,77
E09000004,00AD,Bexley,2001-2003,77.1
E09000004,00AD,Bexley,2002-2004,77.62
E09000004,00AD,Bexley,2003-2005,78.23
E09000004,00AD,Bexley,2004-2006,78.48
E09000004,00AD,Bexley,2005-2007,78.72
E09000004,00AD,Bexley,2006-2008,79.03
E09000004,00AD,Bexley,2007-2009,79.31
E09000004,00AD,Bexley,2008-2010,79.8
E09000004,00AD,Bexley,2009-2011,80.01
E09000004,00AD,Bexley,2010-2012,80.3
E09000004,00AD,Bexley,2011-2013,80.3
E09000004,00AD,Bexley,2012-2014,80.4
E09000005,00AE,Brent,1991-1993,73.4
E09000005,00AE,Brent,1992-1994,73.9
E09000005,00AE,Brent,1993-1995,73.9
E09000005,00AE,Brent,1994-1996,74.2
E09000005,00AE,Brent,1995-1997,74.3
E09000005,00AE,Brent,1996-1998,74.4
E09000005,00AE,Brent,1997-1999,74.9
E09000005,00AE,Brent,1998-2000,75.4
E09000005,00AE,Brent,1999-2001,76
E09000005,00AE,Brent,2000-2002,75.9
E09000005,00AE,Brent,2001-2003,76.1
E09000005,00AE,Brent,2002-2004,76.53
E09000005,00AE,Brent,2003-2005,77.25
E09000005,00AE,Brent,2004-2006,77.98
E09000005,00AE,Brent,2005-2007,78.29
E09000005,00AE,Brent,2006-2008,78.64
E09000005,00AE,Brent,2007-2009,78.89
E09000005,00AE,Brent,2008-2010,79.3
E09000005,00AE,Brent,2009-2011,79.83
E09000005,00AE,Brent,2010-2012,79.9
E09000005,00AE,Brent,2011-2013,80
E09000005,00AE,Brent,2012-2014,80.1
E09000006,00AF,Bromley,1991-1993,75.4
E09000006,00AF,Bromley,1992-1994,75.6
E09000006,00AF,Bromley,1993-1995,75.5
E09000006,00AF,Bromley,1994-1996,75.8
E09000006,00AF,Bromley,1995-1997,76.3
E09000006,00AF,Bromley,1996-1998,76.7
E09000006,00AF,Bromley,1997-1999,76.9
E09000006,00AF,Bromley,1998-2000,77
E09000006,00AF,Bromley,1999-2001,77.2
E09000006,00AF,Bromley,2000-2002,77.5
E09000006,00AF,Bromley,2001-2003,77.7
E09000006,00AF,Bromley,2002-2004,78.13
E09000006,00AF,Bromley,2003-2005,78.54
E09000006,00AF,Bromley,2004-2006,79.14
E09000006,00AF,Bromley,2005-2007,79.47
E09000006,00AF,Bromley,2006-2008,79.68
E09000006,00AF,Bromley,2007-2009,79.82
E09000006,00AF,Bromley,2008-2010,80.18
